longitude,latitude,elevation,slope,aspect,dist_stream,dist_road,twi,village,landslide_label
76.03866466923961,11.63406919433989,1670.54,37.68,214,322.0,96.0,6.06,Vengappally,1
76.30480578207302,11.606040353795137,1121.13,33.37,182,336.0,288.0,6.26,Cheeral,1
76.18975117175867,11.541581458053903,1392.99,41.43,237,371.0,93.0,6.07,Muppainad,1
76.04967796498804,11.567067149048041,1792.38,48.75,189,77.0,261.0,4.33,Chundale,1
76.02069872253252,11.602343959543116,1689.04,37.3,197,411.0,213.0,6.31,Achooranam,1
76.08059975090913,11.608868747920708,1747.69,52.26,40,190.0,150.0,5.04,Kalpetta,1
76.04227291012518,11.52895151469889,1848.25,45.61,50,450.0,180.0,6.11,Kunnathidavaka,1
75.99108279238644,11.571254407083002,1673.57,47.79,168,404.0,342.0,5.93,Pozhuthana,1
75.94393935780757,11.621561119782058,1520.58,44.69,310,460.0,360.0,6.16,Thariyode,1
76.24217731592584,11.659007523959541,1124.99,29.5,24,62.0,366.0,4.85,Sulthanbathery,1
76.13440625075333,11.712575143130822,1299.82,29.33,12,416.0,378.0,6.63,Poothadi,1
76.20550573026021,11.582000920956734,1456.95,35.56,65,345.0,465.0,6.21,Thomattuchal,1
76.13337452421551,11.594035462056322,1624.27,38.14,302,306.0,48.0,6.0,Thrikkaipatta Part,1
76.13947223402513,11.627725842955678,1568.74,40.29,46,328.0,264.0,5.99,Muttil South,1
76.1467585164059,11.49202257489482,1545.04,33.5,232,286.0,438.0,6.1,Vellarimala,1
76.10500259320087,11.543279266470222,1776.68,41.22,178,484.0,132.0,6.33,Kottappadi Part,1
76.25647861732467,11.620875549950863,1208.43,35.28,129,137.0,441.0,5.34,Nenmeni,1
75.85689700342634,11.82659919773205,819.52,14.32,83,129.0,567.0,6.3,Periya,0
75.91060726690212,11.793165694643074,951.09,15.7,86,378.0,264.0,7.23,Valat,0
75.83771100703308,11.761558366427275,996.94,17.23,32,486.0,438.0,7.38,Thondernad,0
76.03915664134598,11.668005516086506,1466.79,42.89,112,226.0,558.0,5.54,Kottathara,1
75.99096233610487,11.645241500489353,1550.42,36.68,193,289.0,297.0,6.0,Kavumannam,1
76.00454338706038,11.699880782678267,1437.81,44.93,343,319.0,387.0,5.8,Kuppadithara,1
76.05995055036456,11.764197738748203,1205.83,26.19,84,272.0,546.0,6.35,Cherukottur,1
75.9659821463519,11.773331449079068,1112.44,31.08,202,406.0,348.0,6.54,Edavaka,1
76.05484780160099,11.807951327244512,1054.41,15.15,270,410.0,360.0,7.35,Payyampally,0
76.01020934467911,11.7715077667952,1186.83,34.56,219,137.0,591.0,5.36,Nalloornad,1
76.08355537685681,11.753730622133137,1211.28,24.38,194,252.0,36.0,6.36,Panamaram,0
75.99405522640795,11.832147729716032,985.55,20.85,262,436.0,288.0,7.07,Mananthavady,0
76.04039436750983,11.722907178307478,1409.84,38.99,258,494.0,612.0,6.43,Anchukunnu,1
75.99150337176675,11.730156300427828,1239.87,35.33,112,226.0,558.0,5.81,Porunnanore,1
75.9365040559268,11.716408793526112,1214.43,35.48,273,389.0,297.0,6.33,Vellamunda,1
76.16071278743671,11.675659775633962,1298.08,37.27,238,64.0,72.0,4.58,Purakkadi,1
75.94700928804205,11.671496575524227,1325.32,27.18,195,215.0,375.0,6.08,Padinharethara,1
76.36063867105628,11.654942495203136,898.76,17.96,136,328.0,414.0,6.95,Noolpuzha,0
76.30074376312972,11.739567004148823,874.12,9.14,0,410.0,510.0,7.87,Kidanganad,0
75.90695406796969,11.747742959554923,1057.01,21.23,156,218.0,234.0,6.37,Kanjirangad,0
75.94665978322237,11.844226850787233,885.09,24.5,21,263.0,69.0,6.4,Thavinhal,0
76.05948591258621,11.853083098877917,911.66,18.39,244,112.0,66.0,5.91,Thrissilery,0
76.20545467254239,11.625331187936846,1287.21,30.91,190,220.0,240.0,5.95,Ambalavayal,1
76.03814288226575,11.915163504857555,701.0,16.37,77,351.0,333.0,7.11,Thirunelly,0
76.2899042235269,11.674788225967658,1047.66,23.92,81,293.0,609.0,6.53,Kuppadi,0
76.1090644662271,11.65951719434359,1496.83,38.89,45,275.0,405.0,5.87,Muttil North,1
76.09401314747448,11.693606256813517,1359.36,39.31,40,370.0,390.0,6.14,Kaniambetta,1
76.19125240673822,11.660226040757486,1250.65,25.69,158,54.0,192.0,4.89,Krishnagiri,1
76.20153576714,11.731758117715618,1144.75,34.16,164,282.0,426.0,6.06,Irulam,1
76.13798482239014,11.80956215305587,1068.98,27.63,222,476.0,408.0,6.83,Pulpalli,1
76.13013048793219,11.75266753311603,1152.61,24.42,120,380.0,270.0,6.76,Nadavayal,0
76.18976276380546,11.826893485589757,954.47,12.82,89,177.0,561.0,6.71,Padichira,0
